,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
225,appartement ," Annecy, France",Studio,0,no,2,1.0,4.78,421.0,120.0,Laura,depuis 10 ans,Auvergne-Rhône-Alpes,"propre, parking, attention"
226,appartement ," Nice, France",Room,1,yes,2,1.0,4.88,154.0,151.0,Olivia,depuis 4 ans,Provence-Alpes-Côte d'Azur,"romantique, propre, studio"
227,appartement ," Nemours, France",Studio,0,yes,2,2.0,4.93,60.0,130.0,Soria,depuis 5 ans,Île-de-France,"sauna, propre, attention"
228,appartement en résidence ," Deauville, France",Studio,0,yes,2,1.0,4.93,453.0,103.0,Frédérique,depuis 6 ans,Normandie,"studio, plage, propre"
229,appartement en résidence ," Carpentras, France",Room,1,yes,2,1.0,4.87,155.0,24.0,Laurence,depuis 4 ans,Provence-Alpes-Côte d'Azur,"calme, parking, propre"
230,hébergement ," Uriménil, France",Room,1,yes,2,1.0,4.92,48.0,99.0,Aline,depuis 2 ans,Grand Est,"calme, propre, grand"
231,maison de ville ," La Rivière-Saint-Sauveur, France",Room,1,no,2,1.0,4.84,144.0,150.0,Alexandre,,Normandie,"alexandre, propre, calme"
232,hébergement ," Saint-Imoges, France",Room,1,yes,4,1.0,4.87,1.0,60.0,Claude Et Toutoune,depuis 10 ans,Grand Est,"explorer, propre, attention"
233,appartement ," Mitry-Mory, France",Room,1,yes,2,1.0,5.0,12.0,222.0,Sweet Suites,1 mois,Île-de-France,"sauna, suite, propre"
234,villa ," Hauteville-sur-Mer, France",Room,2,yes,4,1.0,4.91,136.0,62.0,Gwénaëlle,depuis 6 ans,Normandie,"plage, terrasse, propre"
235,cabane ," Bain-de-Bretagne, France",Room,1,yes,2,1.0,4.9,40.0,59.0,Matthis,5 mois,Bretagne,"cabane, dépaysant, nature"
236,hébergement ," Saint-Amand-sur-Sèvre, France",Studio,0,no,3,1.0,4.78,147.0,,Cindy Et Guillaume,depuis 7 ans,Nouvelle-Aquitaine,"propre, gentil, spacieux"
237,cabane ," Bain-de-Bretagne, France",Room,1,yes,2,1.0,4.9,40.0,59.0,Matthis,5 mois,Bretagne,"cabane, dépaysant, nature"
